token_count,complexity_score,coding,reasoning,creative_writing,summarization,question_answering,instruction_following,long_form,has_code_block,question_count_norm,label
59,0.412,0.658,0.948,0.245,0.088,0.185,0.49,0.163,1,0.319,gpt-4o
181,0.508,0.033,0.285,0.109,0.702,0.444,0.081,0.85,0,0.161,gemini-1.5-pro
9,0.05,0.0,0.038,0.0,0.176,0.591,0.081,0.0,0,0.36,claude-haiku
20,0.135,0.064,0.0,0.386,0.733,0.859,0.407,0.039,0,0.331,gpt-4o-mini
53,0.543,0.506,1.0,0.122,0.019,0.33,0.737,0.0,0,0.48,gpt-4o
33,0.14,0.109,0.13,0.143,0.759,0.338,0.255,0.016,0,0.32,gpt-4o-mini
283,0.604,0.143,0.311,0.02,1.0,0.415,0.357,0.851,0,0.097,gemini-1.5-pro
83,0.78,0.249,0.891,0.715,0.0,0.484,0.368,0.337,1,0.205,claude-opus
145,0.57,0.159,0.6,0.062,0.542,0.608,0.365,0.75,0,0.163,gemini-1.5-pro
26,0.644,0.72,0.572,0.167,0.0,0.168,0.524,0.08,0,0.286,gpt-4o
48,0.32,0.671,0.323,0.354,0.019,0.24,0.775,0.06,1,0.101,claude-sonnet
16,0.121,0.105,0.135,0.187,0.521,0.991,0.284,0.006,0,0.264,gpt-4o-mini
